,Values(Km^2),date
334,6763.75,2010-12-05
335,6777.5,2010-12-06
336,6169.5,2010-12-07
337,6327.75,2010-12-08
338,4223.75,2010-12-09
339,5281.25,2010-12-10
340,0.5,2010-12-11
341,218.25,2010-12-12
342,8.25,2010-12-13
343,97.0,2010-12-14
344,4815.75,2010-12-15
345,454.75,2010-12-16
346,5757.25,2010-12-17
347,0.0,2010-12-18
348,4607.5,2010-12-19
349,4925.0,2010-12-20
350,1256.0,2010-12-21
351,6116.5,2010-12-22
352,1239.0,2010-12-23
353,6023.25,2010-12-24
354,2244.0,2010-12-25
355,6208.75,2010-12-26
356,6751.0,2010-12-27
357,6194.5,2010-12-28
358,6738.5,2010-12-29
359,1032.0,2010-12-30
360,0.0,2010-12-31
361,194.25,2011-01-01
362,6154.5,2011-01-02
363,6679.0,2011-01-03
364,434.0,2011-01-04
365,756.25,2011-01-05
366,1848.5,2011-01-06
367,4864.5,2011-01-07
368,575.25,2011-01-08
369,1106.25,2011-01-09
370,645.75,2011-01-10
371,1476.0,2011-01-11
372,3373.5,2011-01-12
373,5523.0,2011-01-13
374,4020.0,2011-01-14
375,18.75,2011-01-15
376,218.5,2011-01-16
377,1896.75,2011-01-17
378,3353.0,2011-01-18
379,2783.0,2011-01-19
380,4111.25,2011-01-20
381,5167.5,2011-01-21
382,3417.25,2011-01-22
383,1122.5,2011-01-23
384,2899.75,2011-01-24
385,5.5,2011-01-25
386,0.0,2011-01-26
387,1116.75,2011-01-27
388,1629.25,2011-01-28
389,0.0,2011-01-29
390,153.5,2011-01-30
391,3.0,2011-01-31
392,1131.25,2011-02-01
393,3.0,2011-02-02
394,3903.75,2011-02-03
395,17.25,2011-02-04
396,538.5,2011-02-05
397,5887.5,2011-02-06
398,4667.0,2011-02-07
399,1195.75,2011-02-08
400,3009.5,2011-02-09
401,4028.5,2011-02-10
402,555.5,2011-02-11
403,4313.0,2011-02-12
404,5566.75,2011-02-13
405,4721.5,2011-02-14
406,1038.25,2011-02-15
407,428.5,2011-02-16
408,646.75,2011-02-17
409,31.0,2011-02-18
410,6359.5,2011-02-19
411,22.75,2011-02-20
412,275.75,2011-02-21
413,754.25,2011-02-22
414,5554.5,2011-02-23
415,3977.25,2011-02-24
416,5840.0,2011-02-25
417,354.0,2011-02-26
418,1269.0,2011-02-27
419,6579.25,2011-02-28
420,2028.5,2011-03-01
421,5613.25,2011-03-02
422,5486.5,2011-03-03
423,6122.75,2011-03-04
424,6438.25,2011-03-05
425,5771.75,2011-03-06
426,3766.5,2011-03-07
427,35.0,2011-03-08
428,596.25,2011-03-09
429,1094.75,2011-03-10
430,3090.75,2011-03-11
431,268.0,2011-03-12
432,5.0,2011-03-13
433,2932.25,2011-03-14
434,3351.25,2011-03-15
435,6463.25,2011-03-16
436,6755.25,2011-03-17
437,6780.5,2011-03-18
438,5440.5,2011-03-19
439,6680.5,2011-03-20
440,1860.75,2011-03-21
441,6499.75,2011-03-22
442,651.25,2011-03-23
443,529.75,2011-03-24
444,0.0,2011-03-25
445,863.0,2011-03-26
446,6704.0,2011-03-27
447,6726.75,2011-03-28
448,6078.0,2011-03-29
449,6784.5,2011-03-30
450,6784.25,2011-03-31
451,6783.5,2011-04-01
452,6785.0,2011-04-02
453,5267.5,2011-04-03
454,2097.75,2011-04-04
455,0.5,2011-04-05
456,1711.0,2011-04-06
457,4504.5,2011-04-07
458,836.5,2011-04-08
459,966.5,2011-04-09
